agency_cd,staid,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,433607110440901,42-116-14caa02 H1,GW,433606.65,1104409.2,43.60177845,-110.7366528,G,R,NAD27,NAD83,56,56,39,US,NENESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6418.51,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19711201.0,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,65.0,65.0,S,8664DEF00
USGS,433605110441201,42-116-14cac02 H2,GW,433605.18,1104411.76,43.60137009,-110.7373639,G,5,NAD27,NAD83,56,56,39,US,SWNESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6416.83,L,0.05,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,89.0,89.0,R,8664DEF00
USGS,433556110441601,42-116-14cdb01 H5,GW,433556.19,1104416.01,43.5988728,-110.7385444,G,R,NAD27,NAD83,56,56,39,US,NWSESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6409.86,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20001206.0,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,92.0,,S,8664DEF00
USGS,433558110441501,42-116-14cdb02 AG,GW,433557.82,1104414.68,43.5993256,-110.738175,G,5,NAD27,NAD83,56,56,39,US,NWSESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6412.57,R,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,,,,8664DEF00
USGS,433556110441501,42-116-14cdb03 H4 MW,GW,433556.69,1104414.79,43.5990117,-110.7382055,G,5,NAD27,NAD83,56,56,39,US,NWSESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6411.26,R,1.0,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,,,,8664DEF00
USGS,433606110440501,42-116-14caa03 AE,GW,433605.89,1104405.19,43.60156736,-110.7355388,G,5,NAD27,NAD83,56,56,39,US,NENESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6417.17,L,0.05,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19901214.0,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,81.0,81.0,R,8664DEF00
USGS,433604110441001,42-116-14cac01 SSFF,GW,433603.61,1104410.06,43.60093399,-110.7368916,G,5,NAD27,NAD83,56,56,39,US,SWNESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6416.63,L,0.05,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19890809.0,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,55.7,60.0,R,8664DEF00
USGS,433613110443501,42-116-14cbb01 JH-4,GW,433612.73,1104434.95,43.60346716,-110.7438059,G,R,NAD27,NAD83,56,56,39,US,NWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6418.06,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20080811.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,59.0,60.0,D,8664DEF00
USGS,433600110443701,42-116-14ccb01 JH-2.5,GW,433559.8,1104437.5,43.59994444,-110.74375,G,5,NAD83,NAD83,56,56,39,US,NWSWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6410.76,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100921.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
USGS,433630110442701,42-116-14bbd01 CT,GW,433629.7,1104427.27,43.60818117,-110.7416726,G,5,NAD27,NAD83,56,56,39,US,SENWNWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6427.55,L,0.05,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19991104.0,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,100.0,100.0,A,8664DEF00
USGS,433604110443401,42-116-14cbc03 JH-1.5,GW,433604.2,1104433.5,43.60116667,-110.7426389,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6414.26,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100915.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
USGS,433605110443801,42-116-14cbc05 JH-3.5,GW,433604.97,1104437.57,43.60138056,-110.7437694,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6413.03,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20100920.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,55.0,55.0,D,8664DEF00
USGS,433615110440001,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
USGS,433603110443502,42-116-14cbc02  JH-3D,GW,433602.9,1104434.71,43.60073657,-110.7437391,G,R,NAD27,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6411.99,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNYNNNNNNNNNNNNN,20080818.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,102.58,105.0,D,8664DEF00
USGS,433551110443501,42-116-14ccc01 JH-2,GW,433550.94,1104434.79,43.5974143,-110.7437613,G,R,NAD27,NAD83,56,56,39,US,SWSWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6406.59,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20080804.0,20080915,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,59.45,60.0,D,8664DEF00
USGS,433641110441501,42-116-11cdc01 JH-DI1,GW,433642.6,1104414.0,43.6118333,-110.7372222,G,S,NAD83,NAD83,56,56,39,US,SWSESWS11 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6409.59,L,0.1,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNYNNNNNNNNNNNNN,20120717.0,20120723,,,MST,Y,C,YYY  Y,N100ALLUVL,111TRRC,U,70.0,70.0,S,DEF00
USGS,433604110443403,42-116-14cbc06 JH-1.5R,GW,433604.25,1104433.58,43.60118056,-110.7426611,G,S,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6415.4,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20111019.0,20111019,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,64.0,65.0,D,DEF00
USGS,433602110441201,42-116-14cac03 H3,GW,433602.26,1104411.75,43.60055897,-110.737361,G,5,NAD27,NAD83,56,56,39,US,SWNESWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6414.09,L,0.05,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20081015,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,,,,8664DEF00
USGS,433603110443501,42-116-14cbc01  JH-3,GW,433602.9,1104434.71,43.60073657,-110.7437391,G,R,NAD27,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6412.22,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,20080813.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.23,60.23,D,8664DEF00
USGS,433604110443402,42-116-14cbc04 JH-1.5D,GW,433604.2,1104433.5,43.60116667,-110.7426389,G,5,NAD83,NAD83,56,56,39,US,SWNWSWS14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6415.25,L,0.5,NAVD88,17040101,,T,NNNNNNNNNNNNNNNNYNNNNNNNNNNNNN,20100915.0,20101103,,,MST,Y,C,YY Y Y,N100ALLUVL,111TRRC,U,94.45,95.0,S,8664DEF00
